Occupation,Credit_Mix,Payment_of_Min_Amount,Debt Consolidation Loan,Auto Loan,Credit-Builder Loan,Home Equity Loan,Personal Loan,Student Loan
Teacher,Standard,No,0,0,0,1,0,1
Developer,Good,No,0,0,0,0,1,0
Developer,Standard,Yes,0,0,0,0,0,0
Developer,Bad,Yes,0,1,0,1,0,1
Accountant,Standard,Yes,0,1,0,0,0,0
Mechanic,Good,No,1,0,1,1,0,0
Lawyer,Standard,Yes,0,0,1,0,1,1
Manager,Standard,No,1,1,0,0,0,0
Media_Manager,Good,No,0,0,0,0,0,0
Media_Manager,Bad,Yes,0,1,0,0,1,0
Doctor,Good,No,0,0,0,0,1,1
Musician,Standard,Yes,0,0,1,0,1,1
Lawyer,Good,No,0,0,0,0,0,0
Journalist,Bad,Yes,1,0,0,0,1,0
Writer,Good,No,0,0,0,0,0,0
Developer,Standard,Yes,0,0,0,0,0,0
Developer,Standard,No,1,1,0,1,1,0
Writer,Standard,No,0,0,1,0,0,1
Architect,Standard,Yes,0,1,0,0,1,1
Lawyer,Standard,Yes,0,0,1,1,0,0
Entrepreneur,Bad,Yes,1,0,1,1,0,0
Manager,Standard,Yes,0,1,0,0,1,0
Scientist,Standard,Yes,0,0,0,0,1,1
Engineer,Bad,Yes,0,0,1,0,1,1
Accountant,Bad,Yes,0,0,1,0,1,1
Architect,Standard,Yes,0,0,0,1,0,0
Journalist,Bad,Yes,1,1,1,1,0,0
Teacher,Bad,Yes,1,0,1,1,1,1
Mechanic,Standard,Yes,0,0,0,0,0,0
Manager,Good,No,1,0,0,0,0,1
Writer,Standard,No,0,1,0,0,0,0
Teacher,Good,No,0,1,0,0,0,0
Writer,Bad,Yes,0,1,1,0,1,0
Doctor,Bad,Yes,0,0,0,0,0,0
Manager,Standard,Yes,0,0,0,0,0,1
Media_Manager,Bad,Yes,0,1,0,0,1,1
Manager,Standard,Yes,0,1,0,0,0,0
Doctor,Standard,Yes,0,0,0,0,1,0
